Id,x1,x2,x3,x4,x5,x6,x7,sentiment
0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0
1,13.0,10.0,0.0,0.0,0.0,4.0,1.0,0.0
2,14.0,21.0,0.0,0.0,0.0,4.0,1.0,0.0
3,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
4,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
6,15.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
7,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0
8,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
9,10.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0
10,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
12,17.0,11.0,0.0,1.0,1.0,3.0,1.0,0.0
13,10.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0
14,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
15,6.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0
16,7.0,14.0,1.0,0.0,0.0,6.0,1.0,0.0
17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,6.0,11.0,1.0,0.0,0.0,3.0,1.0,0.0
19,14.0,18.0,1.0,0.0,0.0,1.0,1.0,1.0
20,11.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0
21,4.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0
22,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
23,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
24,3.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0
25,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
26,16.0,12.0,0.0,0.0,0.0,2.0,1.0,0.0
27,11.0,23.0,1.0,0.0,0.0,5.0,1.0,1.0
28,6.0,10.0,0.0,0.0,0.0,6.0,1.0,0.0
29,2.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0
30,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
31,24.0,36.0,1.0,0.0,0.0,3.0,1.0,0.0
32,27.0,26.0,0.0,1.0,1.0,1.0,1.0,1.0
33,4.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0
34,41.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0
35,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
36,11.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
37,17.0,7.0,1.0,2.0,1.0,0.0,0.0,1.0
38,13.0,23.0,1.0,0.0,0.0,2.0,1.0,0.0
39,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
40,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41,13.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
42,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
